"N°";"fokontany";"Kaomina";"Distrika";"Region";"Province"
"10234";"Antsampanimahazo";"Mananasy";"Soavinandriana";"Itasy";"Antananarivo"
"10235";"Manjakasoa";"Mananasy";"Soavinandriana";"Itasy";"Antananarivo"
"10236";"Tsitakondaza";"Mananasy";"Soavinandriana";"Itasy";"Antananarivo"
"10237";"Andrakimasina";"Mananasy";"Soavinandriana";"Itasy";"Antananarivo"
"10238";"Miarinkofeno";"Mananasy";"Soavinandriana";"Itasy";"Antananarivo"
"10239";"Soanierana";"Mananasy";"Soavinandriana";"Itasy";"Antananarivo"
"10240";"Andranomafana";"Mananasy";"Soavinandriana";"Itasy";"Antananarivo"
"10241";"Antsakoabe";"Manandaza";"Miandrivazo";"Menabe";"Toliara"
"10242";"Beahidrano";"Manandaza";"Miandrivazo";"Menabe";"Toliara"
"10243";"Manandaza";"Manandaza";"Miandrivazo";"Menabe";"Toliara"
"10244";"Sakasarotra";"Manandaza";"Miandrivazo";"Menabe";"Toliara"
"10245";"Antsapandrano";"Manandaza";"Miandrivazo";"Menabe";"Toliara"
"10246";"Andrafiabe";"Manandaza";"Miandrivazo";"Menabe";"Toliara"
"10247";"Anosikely";"Manandaza";"Miandrivazo";"Menabe";"Toliara"
"10248";"Jea";"Manandaza";"Miandrivazo";"Menabe";"Toliara"
"10249";"Ambatofotsy";"Manandona";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"10250";"Mahasoa";"Manandona";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"10251";"Ranomainty";"Manandona";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"10252";"Maharivo";"Manandona";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"10253";"Zanakambony";"Manandona";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"10254";"Ambohitrimanjato";"Manandona";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"10255";"Ambohipahana Soaray";"Manandona";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"10256";"Ambohiponana";"Manandona";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"10257";"Manandona";"Manandona";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"10258";"Ambohimirary";"Manandona";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"10259";"Fierenantsoa";"Manandona";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"10260";"Ambalarano";"Manandroy";"Ambohimahasoa";"Haute Matsiatra";"Fianarantsoa"
"10261";"Ialamalaza";"Manandroy";"Ambohimahasoa";"Haute Matsiatra";"Fianarantsoa"
"10262";"Soatsihovana";"Manandroy";"Ambohimahasoa";"Haute Matsiatra";"Fianarantsoa"
"10263";"Ambohimanarivo";"Manandroy";"Ambohimahasoa";"Haute Matsiatra";"Fianarantsoa"
"10264";"Andovosira";"Mananjary";"Mananjary";"Vatovavy-Fitovinany";"Fianarantsoa"
"10265";"Tsaralasy";"Mangindrano";\N;\N;\N
"10266";"Ambohimanakana";"Mangindrano";\N;\N;\N
"10267";"Vohidrakitse";"Maniry";"Ampanihy";"Atsimo-Andrefana";"Toliara"
"10268";"Besaly";"Maniry";"Ampanihy";"Atsimo-Andrefana";"Toliara"
"10269";"Pinjo";"Maniry";"Ampanihy";"Atsimo-Andrefana";"Toliara"
"10270";"Anketrakabe Sandrakota";"Maromandia";"Analalava";"Sofia";"Mahajanga"
"10271";"Ambodigavo";"Maromandia";"Analalava";"Sofia";"Mahajanga"
"10272";"Ampomaventy";"Maromandia";"Analalava";"Sofia";"Mahajanga"
"10273";"Antanandava";"Maromandia";"Analalava";"Sofia";"Mahajanga"
"10274";"Ambaibo";"Maromandia";"Analalava";"Sofia";"Mahajanga"
"10275";"Antsirabe Centre";"Antsirabe Centre";\N;\N;\N
"10276";"Ambohimarina";"Antsirabe Centre";\N;\N;\N
"10277";"Behota";"Antsirabe Centre";\N;\N;\N
"10278";"Tsilakanina";"Bekobay";"Mahajanga-II";"Boeny";"Mahajanga"
"10279";"Ambovoatango";"Bekobay";"Mahajanga-II";"Boeny";"Mahajanga"
"10280";"Antohobalo";"Andapa";"Andapa";"SAVA";"Antsiranana"
"10281";"Ankevaheva";"Andapa";"Andapa";"SAVA";"Antsiranana"
"10282";"Beanana";"Andapa";"Andapa";"SAVA";"Antsiranana"
"10283";"Sahamazava";"Andapa";"Andapa";"SAVA";"Antsiranana"
"10284";"Andongozabe";"Andapa";"Andapa";"SAVA";"Antsiranana"
"10285";"Ambodisambalahy";"Andapafito";"Soanierana-Ivongo";"Analanjirofo";"Toamasina"
"10286";"Ambalafarihy";"Marolambo";"Marolambo";"Atsinanana";"Toamasina"
"10287";"Tsaratampona";"Marolambo";"Marolambo";"Atsinanana";"Toamasina"
"10288";"Tsaratanana";"Marolambo";"Marolambo";"Atsinanana";"Toamasina"
"10289";"Anosy Dika";"Marolambo";"Marolambo";"Atsinanana";"Toamasina"
"10290";"Ambatolomakana";"Marolambo";"Marolambo";"Atsinanana";"Toamasina"
"10291";"Mahadio";"Marolambo";"Marolambo";"Atsinanana";"Toamasina"
"10292";"Ampasimbola";"Marolambo";"Marolambo";"Atsinanana";"Toamasina"
"10293";"Mahalanga I";"Marolambo";"Marolambo";"Atsinanana";"Toamasina"
"10294";"Ambalaherana";"Marolambo";"Marolambo";"Atsinanana";"Toamasina"
"10295";"Sambiaravo";"Marolambo";"Marolambo";"Atsinanana";"Toamasina"
"10296";"Marofatsy";"Marolambo";"Marolambo";"Atsinanana";"Toamasina"
"10297";"Andranambolava";"Marolambo";"Marolambo";"Atsinanana";"Toamasina"
"10298";"Lavajiro";"Marolambo";"Marolambo";"Atsinanana";"Toamasina"
"10299";"Ambohitelo";"Marolambo";"Marolambo";"Atsinanana";"Toamasina"
"10300";"Maroleotra";"Marolambo";"Marolambo";"Atsinanana";"Toamasina"
"10301";"Ambatolambo";"Mananjary";"Mananjary";"Vatovavy-Fitovinany";"Fianarantsoa"
"10302";"Tanambao";"Mananjary";"Mananjary";"Vatovavy-Fitovinany";"Fianarantsoa"
"10303";"Analananjavidy";"Mananjary";"Mananjary";"Vatovavy-Fitovinany";"Fianarantsoa"
"10304";"Ampasimandrorona";"Mananjary";"Mananjary";"Vatovavy-Fitovinany";"Fianarantsoa"
"10305";"Mahatsinjo";"Mananjary";"Mananjary";"Vatovavy-Fitovinany";"Fianarantsoa"
"10306";"Fangato";"Mananjary";"Mananjary";"Vatovavy-Fitovinany";"Fianarantsoa"
"10307";"Masindrano";"Mananjary";"Mananjary";"Vatovavy-Fitovinany";"Fianarantsoa"
"10308";"Anosinakoho";"Mananjary";"Mananjary";"Vatovavy-Fitovinany";"Fianarantsoa"
"10309";"Ankadirano";"Mananjary";"Mananjary";"Vatovavy-Fitovinany";"Fianarantsoa"
"10310";"Ankaramany";"Manantenina";"Taolanaro";"Anosy";"Toliara"
"10311";"Ambalateza";"Manantenina";"Taolanaro";"Anosy";"Toliara"
"10312";"Manantenina Haut";"Manantenina";"Taolanaro";"Anosy";"Toliara"
"10313";"Manantenina Bas";"Manantenina";"Taolanaro";"Anosy";"Toliara"
"10314";"Ankarefo";"Manantenina";"Taolanaro";"Anosy";"Toliara"
"10315";"Ampasimasay";"Manantenina";"Taolanaro";"Anosy";"Toliara"
"10316";"Esama";"Manantenina";"Taolanaro";"Anosy";"Toliara"
"10317";"Antanitsara";"Manantenina";"Taolanaro";"Anosy";"Toliara"
"10318";"Manambato";"Manantenina";"Taolanaro";"Anosy";"Toliara"
"10319";"Anorombato";"Manaratsandry";"Marovoay";"Boeny";"Mahajanga"
"10320";"Ambondrona";"Manaratsandry";"Marovoay";"Boeny";"Mahajanga"
"10321";"Amboanjo";"Manaratsandry";"Marovoay";"Boeny";"Mahajanga"
"10322";"Antanimora";"Manaratsandry";"Marovoay";"Boeny";"Mahajanga"
"10323";"Antananabo";"Manaratsandry";"Marovoay";"Boeny";"Mahajanga"
"10324";"Anosy Tapaka";"Manaratsandry";"Marovoay";"Boeny";"Mahajanga"
"10325";"Beanamamy Nord";"Manaratsandry";"Marovoay";"Boeny";"Mahajanga"
"10326";"Soamandroso";"Manaratsandry";"Marovoay";"Boeny";"Mahajanga"
"10327";"Mahasoa I";"Manato";"Vondrozo";"Atsimo-Atsinanana";"Fianarantsoa"
"10328";"Vohimary II";"Manato";"Vondrozo";"Atsimo-Atsinanana";"Fianarantsoa"
"10329";"Anatroa";"Manazary";"Miarinarivo";"Itasy";"Antananarivo"
"10330";"Amboniriana";"Manazary";"Miarinarivo";"Itasy";"Antananarivo"
"10331";"Maropapelika";"Manazary";"Miarinarivo";"Itasy";"Antananarivo"
"10332";"Falimanarivo";"Manazary";"Miarinarivo";"Itasy";"Antananarivo"
"10333";"Antsahavory";"Manazary";"Miarinarivo";"Itasy";"Antananarivo"
"10334";"Beapombo";"Manazary";"Miarinarivo";"Itasy";"Antananarivo"
"10335";"Fiankarantsoa";"Manazary";"Miarinarivo";"Itasy";"Antananarivo"
"10336";"Avarabohitra";"Manazary";"Miarinarivo";"Itasy";"Antananarivo"
"10337";"Ambohimanambola";"Manazary";"Miarinarivo";"Itasy";"Antananarivo"
"10338";"Marosahala";"Manazary";"Miarinarivo";"Itasy";"Antananarivo"
"10339";"Masindray";"Manazary";"Miarinarivo";"Itasy";"Antananarivo"
"10340";"Ambohimasina";"Manazary";"Miarinarivo";"Itasy";"Antananarivo"
"10341";"Fandroa";"Mandabe";"Mahabo";"Menabe";"Toliara"
"10342";"Ambango";"Mandabe";"Mahabo";"Menabe";"Toliara"
"10343";"Soatanana";"Mandabe";"Mahabo";"Menabe";"Toliara"
"10344";"Ankilimanjaka";"Mandabe";"Mahabo";"Menabe";"Toliara"
"10345";"Manjakanony";"Mandiavato";"Miarinarivo";"Itasy";"Antananarivo"
"10346";"Amboniriana";"Mandiavato";"Miarinarivo";"Itasy";"Antananarivo"
"10347";"Mandiavato";"Mandiavato";"Miarinarivo";"Itasy";"Antananarivo"
"10348";"Ambohimanga";"Mandiavato";"Miarinarivo";"Itasy";"Antananarivo"
"10349";"Ambohimanazaka";"Mandiavato";"Miarinarivo";"Itasy";"Antananarivo"
"10350";"Tsarahonenana";"Mandiavato";"Miarinarivo";"Itasy";"Antananarivo"
"10351";"Ambohibary";"Mandiavato";"Miarinarivo";"Itasy";"Antananarivo"
"10352";"Iaranarivo";"Mandiavato";"Miarinarivo";"Itasy";"Antananarivo"
"10353";"Faliarivo";"Mandiavato";"Miarinarivo";"Itasy";"Antananarivo"
"10354";"Anjahana";"Mandiavato";"Miarinarivo";"Itasy";"Antananarivo"
"10355";"Tranoambo";"Mandiso";"Taolanaro";"Anosy";"Toliara"
"10356";"Mandiso Atsinanana";"Mandiso";"Taolanaro";"Anosy";"Toliara"
"10357";"Mandiso Andrefana";"Mandiso";"Taolanaro";"Anosy";"Toliara"
"10358";"Mahabo";"Mandiso";"Taolanaro";"Anosy";"Toliara"
"10359";"Soamanonga";"Mandiso";"Taolanaro";"Anosy";"Toliara"
"10360";"Nagnarena";"Mandiso";"Taolanaro";"Anosy";"Toliara"
"10361";"Mandoto";"Mandoto";"Mandoto";"Vakinankaratra";"Antananarivo"
"10362";"Amparihy Fenomanana";"Mandoto";"Mandoto";"Vakinankaratra";"Antananarivo"
"10363";"Analavory";"Mandoto";"Mandoto";"Vakinankaratra";"Antananarivo"
"10364";"Antanety Nord";"Mandoto";"Mandoto";"Vakinankaratra";"Antananarivo"
"10365";"Mananjara Tsarahafatra";"Mandoto";"Mandoto";"Vakinankaratra";"Antananarivo"
"10366";"Ampotaka";"Mandoto";"Mandoto";"Vakinankaratra";"Antananarivo"
"10367";"Antanambao Manerinerina";"Mandoto";"Mandoto";"Vakinankaratra";"Antananarivo"
"10368";"Ambatolahimaro";"Mandoto";"Mandoto";"Vakinankaratra";"Antananarivo"
"10369";"Tsaramody";"Mandoto";"Mandoto";"Vakinankaratra";"Antananarivo"
"10370";"Morarano Ambararata";"Mandoto";"Mandoto";"Vakinankaratra";"Antananarivo"
"10371";"Viliabe";"Mandoto";"Mandoto";"Vakinankaratra";"Antananarivo"
"10372";"Maromandray";"Mandoto";"Mandoto";"Vakinankaratra";"Antananarivo"
"10373";"Tsaramandroso Ambohimena";"Mandoto";"Mandoto";"Vakinankaratra";"Antananarivo"
"10374";"Tsarafara";"Mandoto";"Mandoto";"Vakinankaratra";"Antananarivo"
"10375";"Ambohimandroso";"Mandritsara";"Betafo";"Vakinankaratra";"Antananarivo"
"10375";"Ambohimandroso";"Mandritsara";"Mandritsara";"Sofia";"Mahajanga"
"10376";"Ampitatsimo";"Mandritsara";"Betafo";"Vakinankaratra";"Antananarivo"
"10376";"Ampitatsimo";"Mandritsara";"Mandritsara";"Sofia";"Mahajanga"
"10377";"Mandritsara Ambony";"Mandritsara";"Betafo";"Vakinankaratra";"Antananarivo"
"10377";"Mandritsara Ambony";"Mandritsara";"Mandritsara";"Sofia";"Mahajanga"
"10378";"Ambohimahavelona";"Mandritsara";"Betafo";"Vakinankaratra";"Antananarivo"
"10378";"Ambohimahavelona";"Mandritsara";"Mandritsara";"Sofia";"Mahajanga"
"10379";"Antanantsimihety";"Mandritsara";"Betafo";"Vakinankaratra";"Antananarivo"
"10379";"Antanantsimihety";"Mandritsara";"Mandritsara";"Sofia";"Mahajanga"
"10380";"Ambalakompania";"Mandritsara";"Betafo";"Vakinankaratra";"Antananarivo"
"10380";"Ambalakompania";"Mandritsara";"Mandritsara";"Sofia";"Mahajanga"
"10381";"Mandritsara Vaovao";"Mandritsara";"Betafo";"Vakinankaratra";"Antananarivo"
"10381";"Mandritsara Vaovao";"Mandritsara";"Mandritsara";"Sofia";"Mahajanga"
"10382";"Antanandrainivelo";"Mandritsara";"Betafo";"Vakinankaratra";"Antananarivo"
"10382";"Antanandrainivelo";"Mandritsara";"Mandritsara";"Sofia";"Mahajanga"
"10383";"Mandrosoa";"Mandritsara";"Betafo";"Vakinankaratra";"Antananarivo"
"10383";"Mandrosoa";"Mandritsara";"Mandritsara";"Sofia";"Mahajanga"
"10384";"Miantsoarivo";"Mandritsara";"Betafo";"Vakinankaratra";"Antananarivo"
"10384";"Miantsoarivo";"Mandritsara";"Mandritsara";"Sofia";"Mahajanga"
"10385";"Tsaratoko";"Mandritsara";"Betafo";"Vakinankaratra";"Antananarivo"
"10385";"Tsaratoko";"Mandritsara";"Mandritsara";"Sofia";"Mahajanga"
"10386";"Malaza";"Mandritsara";"Betafo";"Vakinankaratra";"Antananarivo"
"10386";"Malaza";"Mandritsara";"Mandritsara";"Sofia";"Mahajanga"
"10387";"Ambohijato";"Mandritsara";"Betafo";"Vakinankaratra";"Antananarivo"
"10387";"Ambohijato";"Mandritsara";"Mandritsara";"Sofia";"Mahajanga"
"10388";"Ankabahaba";"Mandritsara";"Betafo";"Vakinankaratra";"Antananarivo"
"10388";"Ankabahaba";"Mandritsara";"Mandritsara";"Sofia";"Mahajanga"
"10389";"Morafeno Mahatsinjo";"Mandritsara";"Betafo";"Vakinankaratra";"Antananarivo"
"10389";"Morafeno Mahatsinjo";"Mandritsara";"Mandritsara";"Sofia";"Mahajanga"
"10390";"Ambohimarina";"Mandritsara";"Betafo";"Vakinankaratra";"Antananarivo"
"10390";"Ambohimarina";"Mandritsara";"Mandritsara";"Sofia";"Mahajanga"
"10391";"Soamanandray";"Mandritsara";"Betafo";"Vakinankaratra";"Antananarivo"
"10391";"Soamanandray";"Mandritsara";"Mandritsara";"Sofia";"Mahajanga"
"10392";"Morafeno";"Mandritsara";"Betafo";"Vakinankaratra";"Antananarivo"
"10392";"Morafeno";"Mandritsara";"Mandritsara";"Sofia";"Mahajanga"
"10393";"Ampahatrimaha";"Mandritsara";"Betafo";"Vakinankaratra";"Antananarivo"
"10393";"Ampahatrimaha";"Mandritsara";"Mandritsara";"Sofia";"Mahajanga"
"10394";"Miarinarivo";"Mandritsara";"Betafo";"Vakinankaratra";"Antananarivo"
"10394";"Miarinarivo";"Mandritsara";"Mandritsara";"Sofia";"Mahajanga"
"10395";"Iavomalaza";"Mandritsara";"Betafo";"Vakinankaratra";"Antananarivo"
"10395";"Iavomalaza";"Mandritsara";"Mandritsara";"Sofia";"Mahajanga"
"10396";"Vatoroka";"Mandromondromotra";\N;\N;\N
"10397";"Mandromondromotra";"Mandromondromotra";\N;\N;\N
"10398";"Hovatraha";"Mandromondromotra";\N;\N;\N
"10399";"Bevoay II";"Mandronarivo";"Beroroha";"Atsimo-Andrefana";"Toliara"
"10400";"Soarano";"Mandronarivo";"Beroroha";"Atsimo-Andrefana";"Toliara"
"10401";"Mandronarivo I";"Mandronarivo";"Beroroha";"Atsimo-Andrefana";"Toliara"
"10402";"Bevoay I";"Mandronarivo";"Beroroha";"Atsimo-Andrefana";"Toliara"
"10403";"Mandronarivo II";"Mandronarivo";"Beroroha";"Atsimo-Andrefana";"Toliara"
"10404";"Mandrosoa";"Mandrosoa";"Andramasina";"Analamanga";"Antananarivo"
"10405";"Ambika";"Mandrosoa";"Andramasina";"Analamanga";"Antananarivo"
"10406";"Antovontany";"Mandrosoa";"Andramasina";"Analamanga";"Antananarivo"
"10407";"Antanetibe";"Mandrosoa";"Andramasina";"Analamanga";"Antananarivo"
"10408";"Morarano";"Mandrosoa";"Andramasina";"Analamanga";"Antananarivo"
"10409";"Andranovelona";"Mandrosoa";"Andramasina";"Analamanga";"Antananarivo"
"10410";"Manjambohitra";"Mandrosoa";"Andramasina";"Analamanga";"Antananarivo"
"10411";"Mandrosohasina";"Mandrosohasina";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"10412";"Betampona Mahavokatra";"Mandrosohasina";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"10413";"Kianjanakanga";"Mandrosohasina";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"10414";"Avarabary Fanantenana";"Mandrosohasina";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"10415";"Manjakamiadana Avarabary";"Mandrosohasina";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"10416";"Miarintsoa Soahazo";"Mandrosohasina";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"10417";"Tongasoa Ambanimaso";"Mandrosohasina";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"10418";"Tsarahonenana";"Mandrosohasina";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"10419";"Tsaramody Ambalafeno";"Mandrosohasina";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"10420";"Amparihy";"Mandrosohasina";"Antsirabe-II";"Vakinankaratra";"Antananarivo"
"10421";"Mandabe Manatsahala";"Mandrosonoro";"Ambatofinandrahana";"Amoron'i Mania";"Fianarantsoa"
"10422";"Mandrosonoro";"Mandrosonoro";"Ambatofinandrahana";"Amoron'i Mania";"Fianarantsoa"
"10423";"Belavenona";"Mandrosonoro";"Ambatofinandrahana";"Amoron'i Mania";"Fianarantsoa"
"10424";"Ankerambe";"Mandrosonoro";"Ambatofinandrahana";"Amoron'i Mania";"Fianarantsoa"
"10425";"Janjina";"Mandrosonoro";"Ambatofinandrahana";"Amoron'i Mania";"Fianarantsoa"
"10426";"Ambararatasarotra";"Mandrosonoro";"Ambatofinandrahana";"Amoron'i Mania";"Fianarantsoa"
"10427";"Manamy";"Mandrosonoro";"Ambatofinandrahana";"Amoron'i Mania";"Fianarantsoa"
"10428";"Ambahary";"Manerinerina";"Ambato-Boeny";"Boeny";"Mahajanga"
"10429";"Bevazaha";"Manerinerina";"Ambato-Boeny";"Boeny";"Mahajanga"
"10430";"Ampombilava";"Manerinerina";"Ambato-Boeny";"Boeny";"Mahajanga"
"10431";"Ambinanibe";"Manerinerina";"Ambato-Boeny";"Boeny";"Mahajanga"
"10432";"Andranotomendry";"Manerinerina";"Ambato-Boeny";"Boeny";"Mahajanga"
"10433";"Manerinerina";"Manerinerina";"Ambato-Boeny";"Boeny";"Mahajanga"
"10434";"Tsinjorano II";"Manerinerina";"Ambato-Boeny";"Boeny";"Mahajanga"
"10435";"Morafeno";"Manerinerina";"Ambato-Boeny";"Boeny";"Mahajanga"
"10436";"Ampasitapaka";"Manerinerina";"Ambato-Boeny";"Boeny";"Mahajanga"
"10437";"Andranolava";"Manerinerina";"Ambato-Boeny";"Boeny";"Mahajanga"
"10438";"Ambalamarina I";"Maneva";"Vohibato";"Haute Matsiatra";"Fianarantsoa"
"10439";"Avaradrano Maneva";"Maneva";"Vohibato";"Haute Matsiatra";"Fianarantsoa"
"10440";"Andoharanodita";"Maneva";"Vohibato";"Haute Matsiatra";"Fianarantsoa"
"10441";"Ampasimbe Beravina";"Maneva";"Vohibato";"Haute Matsiatra";"Fianarantsoa"
"10442";"Maneva Andrefana";"Maneva";"Vohibato";"Haute Matsiatra";"Fianarantsoa"
"10443";"Ambalavao Maneva";"Maneva";"Vohibato";"Haute Matsiatra";"Fianarantsoa"
"10444";"Vohibaka";"Manevy";"Amboasary-Sud";"Anosy";"Toliara"
"10445";"Andetsy";"Manevy";"Amboasary-Sud";"Anosy";"Toliara"
"10446";"Ambero";"Manevy";"Amboasary-Sud";"Anosy";"Toliara"
"10447";"Betaimboraka";"Manevy";"Amboasary-Sud";"Anosy";"Toliara"
"10448";"Ampamatoha";"Manevy";"Amboasary-Sud";"Anosy";"Toliara"
"10449";"Manevy";"Manevy";"Amboasary-Sud";"Anosy";"Toliara"
"10450";"Sahakondro";"Manevy";"Amboasary-Sud";"Anosy";"Toliara"
"10451";"Atsavoa";"Manevy";"Amboasary-Sud";"Anosy";"Toliara"
"10452";"Antseva";"Manevy";"Amboasary-Sud";"Anosy";"Toliara"
"10453";"Ambotaky";"Manevy";"Amboasary-Sud";"Anosy";"Toliara"
"10454";"Andasibe";"Mangabe";"Maevatanana";"Betsiboka";"Mahajanga"
"10454";"Andasibe";"Mangabe";"Tamatave-II";"Atsinanana";"Toamasina"
"10455";"Ambodinonoka";"Mangabe";"Maevatanana";"Betsiboka";"Mahajanga"
"10455";"Ambodinonoka";"Mangabe";"Tamatave-II";"Atsinanana";"Toamasina"
"10456";"Mahanoro";"Mangabe";"Maevatanana";"Betsiboka";"Mahajanga"
"10456";"Mahanoro";"Mangabe";"Tamatave-II";"Atsinanana";"Toamasina"
"10457";"Tanamena";"Mangabe";"Maevatanana";"Betsiboka";"Mahajanga"
"10457";"Tanamena";"Mangabe";"Tamatave-II";"Atsinanana";"Toamasina"
"10458";"Ambinanisahavahy";"Mangabe";"Maevatanana";"Betsiboka";"Mahajanga"
"10458";"Ambinanisahavahy";"Mangabe";"Tamatave-II";"Atsinanana";"Toamasina"
"10459";"Mangabe";"Mangabe";"Maevatanana";"Betsiboka";"Mahajanga"
"10459";"Mangabe";"Mangabe";"Tamatave-II";"Atsinanana";"Toamasina"
"10460";"Tanambao";"Mangabe";"Maevatanana";"Betsiboka";"Mahajanga"
"10460";"Tanambao";"Mangabe";"Tamatave-II";"Atsinanana";"Toamasina"
"10461";"Kamotro";"Mangabe";"Maevatanana";"Betsiboka";"Mahajanga"
"10461";"Kamotro";"Mangabe";"Tamatave-II";"Atsinanana";"Toamasina"
"10462";"Kapingo";"Mangabe";"Maevatanana";"Betsiboka";"Mahajanga"
"10462";"Kapingo";"Mangabe";"Tamatave-II";"Atsinanana";"Toamasina"
"10463";"Ambinanikely";"Mangabe";"Maevatanana";"Betsiboka";"Mahajanga"
"10463";"Ambinanikely";"Mangabe";"Tamatave-II";"Atsinanana";"Toamasina"
"10464";"Anosimiadana";"Mangabe";"Maevatanana";"Betsiboka";"Mahajanga"
"10464";"Anosimiadana";"Mangabe";"Tamatave-II";"Atsinanana";"Toamasina"
"10465";"Antanambao";"Mangabe";"Maevatanana";"Betsiboka";"Mahajanga"
"10465";"Antanambao";"Mangabe";"Tamatave-II";"Atsinanana";"Toamasina"
"10466";"Madirobe";"Mangabe";"Maevatanana";"Betsiboka";"Mahajanga"
"10466";"Madirobe";"Mangabe";"Tamatave-II";"Atsinanana";"Toamasina"
"10467";"Merimandroso";"Mangabe";"Maevatanana";"Betsiboka";"Mahajanga"
"10467";"Merimandroso";"Mangabe";"Tamatave-II";"Atsinanana";"Toamasina"
"10468";"Mangabe";"Mangabe";"Maevatanana";"Betsiboka";"Mahajanga"
"10468";"Mangabe";"Mangabe";"Tamatave-II";"Atsinanana";"Toamasina"
"10469";"Anosy";"Mangamila";"Anjozorobe";"Analamanga";"Antananarivo"
"10470";"Miarinarivo";"Mangamila";"Anjozorobe";"Analamanga";"Antananarivo"
"10471";"Antsahafina";"Mangamila";"Anjozorobe";"Analamanga";"Antananarivo"
"10472";"Ampotaka";"Mangamila";"Anjozorobe";"Analamanga";"Antananarivo"
"10473";"Marovato";"Mangamila";"Anjozorobe";"Analamanga";"Antananarivo"
"10474";"Analavinidy";"Mangamila";"Anjozorobe";"Analamanga";"Antananarivo"
"10475";"Isaonjo Nord";"Mangamila";"Anjozorobe";"Analamanga";"Antananarivo"
"10476";"Tafaina";"Mangamila";"Anjozorobe";"Analamanga";"Antananarivo"
"10477";"Soavinarivo";"Mangamila";"Anjozorobe";"Analamanga";"Antananarivo"
"10478";"Ambohimandroso";"Mangamila";"Anjozorobe";"Analamanga";"Antananarivo"
"10479";"Antoby";"Mangamila";"Anjozorobe";"Analamanga";"Antananarivo"
"10480";"Antanatanana";"Mangamila";"Anjozorobe";"Analamanga";"Antananarivo"
"10481";"Amboarakely";"Mangamila";"Anjozorobe";"Analamanga";"Antananarivo"
"10482";"Analabe";"Mangamila";"Anjozorobe";"Analamanga";"Antananarivo"
"10483";"Ankorefo";"Mangaoka";"Antsiranana-II";"DIANA";"Antsiranana"
"10484";"Ampasindava";"Mangaoka";"Antsiranana-II";"DIANA";"Antsiranana"
"10485";"Antanamandriry";"Mangaoka";"Antsiranana-II";"DIANA";"Antsiranana"
"10486";"Mangaoka";"Mangaoka";"Antsiranana-II";"DIANA";"Antsiranana"
"10487";"Matsaborimaiky";"Mangaoka";"Antsiranana-II";"DIANA";"Antsiranana"
"10488";"Antanamisondrotra";"Mangaoka";"Antsiranana-II";"DIANA";"Antsiranana"
"10489";"Ambohibory";"Mangaoka";"Antsiranana-II";"DIANA";"Antsiranana"
"10490";"Mananara";"Mangaoka";"Antsiranana-II";"DIANA";"Antsiranana"
"10491";"Anivosaha";"Mangarano";\N;\N;\N
"10492";"Ankerana";"Mangarano";\N;\N;\N
"10493";"Mahafaliarivo";"Mangarano";\N;\N;\N
"10494";"Antanibe";"Mangarano";\N;\N;\N
"10495";"Ambohijatovo";"Mangarano";\N;\N;\N
"10496";"Maninarivo";"Mangarano";\N;\N;\N
"10497";"Ambalamarina";"Mangarano";\N;\N;\N
"10498";"Mangarano";"Mangarano";\N;\N;\N
"10499";"Ambohimandroso";"Mangarano";\N;\N;\N
"10500";"Sahatany";"Mangarano";\N;\N;\N
"10501";"Manakana Est";"Mangarivotra";\N;\N;\N
"10502";"Ambalahorona";"Mangarivotra";\N;\N;\N
"10503";"Mangarivotra";"Mangarivotra";\N;\N;\N
"10504";"Ambohimiadana";"Mangarivotra";\N;\N;\N
"10505";"Ankazondandy";"Mangarivotra";\N;\N;\N
"10506";"Ambohimiarina";"Mangarivotra";\N;\N;\N
"10507";"Larobia Andapa";"Mangarivotra";\N;\N;\N
"10508";"Antokolava";"Mangataboahangy";"Ambatofinandrahana";"Amoron'i Mania";"Fianarantsoa"
"10509";"Maharivo";"Mangataboahangy";"Ambatofinandrahana";"Amoron'i Mania";"Fianarantsoa"
"10510";"Vohimena";"Mangataboahangy";"Ambatofinandrahana";"Amoron'i Mania";"Fianarantsoa"
"10511";"Mangataboahangy";"Mangataboahangy";"Ambatofinandrahana";"Amoron'i Mania";"Fianarantsoa"
